Location,Population,HighestInfectionCount,PercentPopulationInfected
Bermuda,62273,0,0
Cayman Islands,65720,0,0
Curacao,164100,0,0
Faeroe Islands,48865,0,0
Falkland Islands,3483,0,0
Gibraltar,33691,0,0
Greenland,56772,0,0
Guernsey,67052,0,0
Hong Kong,7496988,0,0
International,0,721,0
Isle of Man,85032,0,0
Jersey,101073,0,0
Macao,649342,0,0
Montserrat,4999,0,0
Nauru,10834,0,0
Northern Cyprus,0,0,0
Saint Helena,6071,0,0
Tonga,105697,0,0
Turks and Caicos Islands,38718,0,0
